,n,functional,basis,avg_tensor,max_tensor
0,1,B3LYP,6-31+G*,30.72,30.72
1,2,B3LYP,6-31+G*,29.82,30.282
2,3,B3LYP,6-31+G*,29.054,29.066
3,4,B3LYP,6-31+G*,28.961,29.874
4,6,B3LYP,6-31+G*,28.029,28.7
5,8,B3LYP,6-31+G*,28.19,29.775
6,10,B3LYP,6-31+G*,28.152,29.692
7,12,B3LYP,6-31+G*,27.801,29.686
8,1,B3LYP,6-311++G**,30.833,30.833
9,2,B3LYP,6-311++G**,29.746,30.251
10,3,B3LYP,6-311++G**,28.948,28.969
11,4,B3LYP,6-311++G**,28.736,29.76
12,6,B3LYP,6-311++G**,28.188,29.708
13,8,B3LYP,6-311++G**,27.874,29.669
14,10,B3LYP,6-311++G**,27.871,29.589
15,12,B3LYP,6-311++G**,27.372,29.594
16,1,B3LYP,Def2TZVP,30.903,30.903
17,2,B3LYP,Def2TZVP,29.866,30.314
18,3,B3LYP,Def2TZVP,28.987,29.002
19,4,B3LYP,Def2TZVP,28.86,29.76
20,6,B3LYP,Def2TZVP,28.297,29.7
21,8,B3LYP,Def2TZVP,27.984,29.641
22,10,B3LYP,Def2TZVP,27.928,29.559
23,12,B3LYP,Def2TZVP,27.443,29.567
24,1,M062X,6-31+G*,30.676,30.676
25,2,M062X,6-31+G*,29.775,30.233
26,3,M062X,6-31+G*,29.018,29.03
27,4,M062X,6-31+G*,28.333,28.375
28,6,M062X,6-31+G*,28.324,29.755
29,8,M062X,6-31+G*,27.952,29.319
30,10,M062X,6-31+G*,27.949,29.774
31,12,M062X,6-31+G*,27.776,29.671
32,1,M062X,6-311++G**,30.751,30.751
33,2,M062X,6-311++G**,29.656,30.125
34,3,M062X,6-311++G**,28.951,28.955
35,4,M062X,6-311++G**,28.063,28.113
36,6,M062X,6-311++G**,28.165,29.582
37,8,M062X,6-311++G**,27.621,29.191
38,10,M062X,6-311++G**,27.722,29.552
39,12,M062X,6-311++G**,27.419,29.531
40,1,M062X,Def2TZVP,30.701,30.701
41,2,M062X,Def2TZVP,29.654,30.108
42,3,M062X,Def2TZVP,28.848,28.85
43,4,M062X,Def2TZVP,27.913,27.959
44,6,M062X,Def2TZVP,28.133,29.5
45,8,M062X,Def2TZVP,27.598,28.996
46,10,M062X,Def2TZVP,27.402,29.518
47,12,M062X,Def2TZVP,27.306,29.414
48,1,PBE1PBE,6-31+G*,30.81,30.81
49,2,PBE1PBE,6-31+G*,29.874,30.349
50,3,PBE1PBE,6-31+G*,29.324,30.209
51,4,PBE1PBE,6-31+G*,29.144,30.192
52,6,PBE1PBE,6-31+G*,28.238,29.863
53,8,PBE1PBE,6-31+G*,28.167,29.822
54,10,PBE1PBE,6-31+G*,27.791,30.241
55,12,PBE1PBE,6-31+G*,27.746,29.719
56,1,PBE1PBE,6-311++G**,30.882,30.882
57,2,PBE1PBE,6-311++G**,29.716,30.236
58,3,PBE1PBE,6-311++G**,28.86,28.881
59,4,PBE1PBE,6-311++G**,28.659,29.754
60,6,PBE1PBE,6-311++G**,27.881,29.7
61,8,PBE1PBE,6-311++G**,27.745,29.652
62,10,PBE1PBE,6-311++G**,27.351,30.115
63,12,PBE1PBE,6-311++G**,27.192,29.565
64,1,PBE1PBE,Def2TZVP,30.913,30.913
65,2,PBE1PBE,Def2TZVP,29.817,30.296
66,3,PBE1PBE,Def2TZVP,28.847,28.863
67,4,PBE1PBE,Def2TZVP,28.76,29.74
68,6,PBE1PBE,Def2TZVP,27.914,29.684
69,8,PBE1PBE,Def2TZVP,27.803,29.612
70,10,PBE1PBE,Def2TZVP,27.363,30.08
71,12,PBE1PBE,Def2TZVP,27.207,29.526
72,1,wB97X,6-31+G*,30.774,30.774
73,2,wB97X,6-31+G*,29.835,30.302
74,3,wB97X,6-31+G*,29.123,29.135
75,4,wB97X,6-31+G*,28.487,28.495
76,6,wB97X,6-31+G*,28.486,30.278
77,8,wB97X,6-31+G*,28.098,29.32
78,10,wB97X,6-31+G*,28.128,30.079
79,12,wB97X,6-31+G*,27.951,29.764
80,1,wB97X,6-311++G**,30.864,30.864
81,2,wB97X,6-311++G**,29.709,30.231
82,3,wB97X,6-311++G**,28.988,28.991
83,4,wB97X,6-311++G**,28.14,28.143
84,6,wB97X,6-311++G**,27.742,28.572
85,8,wB97X,6-311++G**,27.554,28.58
86,10,wB97X,6-311++G**,27.737,29.97
87,12,wB97X,6-311++G**,27.466,29.631
88,1,wB97X,Def2TZVP,30.932,30.932
89,2,wB97X,Def2TZVP,29.842,30.32
90,3,wB97X,Def2TZVP,29.016,29.019
91,4,wB97X,Def2TZVP,28.158,28.164
92,6,wB97X,Def2TZVP,27.969,28.801
93,8,wB97X,Def2TZVP,27.64,28.68
94,10,wB97X,Def2TZVP,27.807,29.72
95,12,wB97X,Def2TZVP,27.571,29.6
