,configuration,functional,basis,%,25mg,wall time (hr)
0,1,B3LYP,6-31+G*,81.274,6.32,1.658
1,2,B3LYP,6-31+G*,11.499,11.08,3.352
2,3,B3LYP,6-31+G*,3.021,2.957,3.358
3,4,B3LYP,6-31+G*,2.436,-4.588,0.559
4,5,B3LYP,6-31+G*,0.963,17.1,12.649
5,6,B3LYP,6-31+G*,0.561,11.248,6.292
6,1,B3LYP,6-311++G**,81.274,3.611,3.7
7,2,B3LYP,6-311++G**,11.499,1.604,3.147
8,3,B3LYP,6-311++G**,3.021,2.804,2.876
9,4,B3LYP,6-311++G**,2.436,-4.495,0.83
10,5,B3LYP,6-311++G**,0.963,0.543,33.413
11,6,B3LYP,6-311++G**,0.561,-0.95,9.749
12,1,B3LYP,Def2TZVP,81.274,1.702,7.222
13,2,B3LYP,Def2TZVP,11.499,-4.59,12.684
14,3,B3LYP,Def2TZVP,3.021,3.201,16.5
15,4,B3LYP,Def2TZVP,2.436,-6.266,1.619
16,5,B3LYP,Def2TZVP,0.963,-5.488,14.514
17,6,B3LYP,Def2TZVP,0.561,-0.233,11.206
18,1,PBE1PBE,6-31+G*,81.274,11.941,1.317
19,2,PBE1PBE,6-31+G*,11.499,-0.36,4.999
20,3,PBE1PBE,6-31+G*,3.021,5.488,4.972
21,4,PBE1PBE,6-31+G*,2.436,-3.542,0.679
22,5,PBE1PBE,6-31+G*,0.963,5.736,13.639
23,6,PBE1PBE,6-31+G*,0.561,9.4,2.669
24,1,PBE1PBE,6-311++G**,81.274,0.807,3.831
25,2,PBE1PBE,6-311++G**,11.499,-0.556,7.012
26,3,PBE1PBE,6-311++G**,3.021,2.45,2.412
27,4,PBE1PBE,6-311++G**,2.436,-10.424,1.377
28,5,PBE1PBE,6-311++G**,0.963,-3.304,42.935
29,6,PBE1PBE,6-311++G**,0.561,0.547,3.261
30,1,PBE1PBE,Def2TZVP,81.274,-0.94,9.135
31,2,PBE1PBE,Def2TZVP,11.499,-6.687,30.404
32,3,PBE1PBE,Def2TZVP,3.021,-2.608,32.075
33,4,PBE1PBE,Def2TZVP,2.436,-9.901,1.82
34,5,PBE1PBE,Def2TZVP,0.963,-5.211,28.95
35,6,PBE1PBE,Def2TZVP,0.561,-3.381,13.526
36,1,M062X,6-31+G*,81.274,22.313,1.772
37,2,M062X,6-31+G*,11.499,-15.729,4.484
38,3,M062X,6-31+G*,3.021,7.493,4.39
39,4,M062X,6-31+G*,2.436,12.759,0.582
40,5,M062X,6-31+G*,0.963,24.153,21.522
41,6,M062X,6-31+G*,0.561,43.132,4.456
42,1,M062X,6-311++G**,81.274,-0.485,4.937
43,2,M062X,6-311++G**,11.499,4.869,12.655
44,3,M062X,6-311++G**,3.021,-0.637,8.703
45,4,M062X,6-311++G**,2.436,-20.056,1.071
46,5,M062X,6-311++G**,0.963,0.891,33.658
47,6,M062X,6-311++G**,0.561,-3.716,4.292
48,1,M062X,Def2TZVP,81.274,0.426,9.028
49,2,M062X,Def2TZVP,11.499,-1.353,12.618
50,3,M062X,Def2TZVP,3.021,-3.818,24.482
51,4,M062X,Def2TZVP,2.436,-14.591,2.654
52,5,M062X,Def2TZVP,0.963,-8.246,30.721
53,6,M062X,Def2TZVP,0.561,0.717,15.85
54,1,wB97X,6-31+G*,81.274,17.744,2.369
55,2,wB97X,6-31+G*,11.499,-8.989,4.973
56,3,wB97X,6-31+G*,3.021,3.787,6.12
57,4,wB97X,6-31+G*,2.436,-8.343,0.663
58,5,wB97X,6-31+G*,0.963,5.803,12.365
59,6,wB97X,6-31+G*,0.561,3.715,4.61
60,1,wB97X,6-311++G**,81.274,-3.576,7.328
61,2,wB97X,6-311++G**,11.499,-1.268,10.389
62,3,wB97X,6-311++G**,3.021,-1.854,15.398
63,4,wB97X,6-311++G**,2.436,-16.024,1.543
64,5,wB97X,6-311++G**,0.963,-7.546,15.445
65,6,wB97X,6-311++G**,0.561,-0.214,11.754
66,1,wB97X,Def2TZVP,81.274,-0.809,13.281
67,2,wB97X,Def2TZVP,11.499,-4.741,50.915
68,3,wB97X,Def2TZVP,3.021,-6.016,25.505
69,4,wB97X,Def2TZVP,2.436,-15.559,4.055
70,5,wB97X,Def2TZVP,0.963,-6.785,26.475
71,6,wB97X,Def2TZVP,0.561,-6.45,21.746
